#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-1D38A239C13B53FC-94220A77A9CE739
#datatype	hitsFull Results
#status	0
#Start time	2020-02-27T14:17:22	Run time	0:00:01:28
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >tr|Q9HIZ5|Q9HIZ5_THEAC Uncharacterized protein OS=Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165) OX=273075 GN=Ta1181 PE=4 SV=1	non-specific	308778	15	144	0.000110202	41.0802	pfam03357	Snf7	C	cl21588
Q#1 - >tr|Q9HIZ5|Q9HIZ5_THEAC Uncharacterized protein OS=Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165) OX=273075 GN=Ta1181 PE=4 SV=1	superfamily	328813	15	144	0.000110202	41.0802	cl21588	Snf7 superfamily	C	 - 
Q#2 - >tr|Q97BR8|Q97BR8_THEVO TVG0374267 protein OS=Thermoplasma volcanium (strain ATCC 51530 / DSM 4299 / JCM 9571 / NBRC 15438 / GSS1) OX=273116 GN=TVG0374267 PE=4 SV=1	non-specific	308778	16	145	0.000298866	39.9246	pfam03357	Snf7	C	cl21588
Q#2 - >tr|Q97BR8|Q97BR8_THEVO TVG0374267 protein OS=Thermoplasma volcanium (strain ATCC 51530 / DSM 4299 / JCM 9571 / NBRC 15438 / GSS1) OX=273116 GN=TVG0374267 PE=4 SV=1	superfamily	328813	16	145	0.000298866	39.9246	cl21588	Snf7 superfamily	C	 - 
Q#6 - >tr|A0A0S1XCM4|A0A0S1XCM4_9EURY Uncharacterized protein OS=Thermococcus barophilus OX=55802 GN=TBCH5v1_1620 PE=4 SV=1	non-specific	318302	16	88	0.00281306	37.3601	pfam16046	FAM76	N	cl24571
Q#6 - >tr|A0A0S1XCM4|A0A0S1XCM4_9EURY Uncharacterized protein OS=Thermococcus barophilus OX=55802 GN=TBCH5v1_1620 PE=4 SV=1	superfamily	318302	16	88	0.00281306	37.3601	cl24571	FAM76 superfamily	N	 - 
Q#6 - >tr|A0A0S1XCM4|A0A0S1XCM4_9EURY Uncharacterized protein OS=Thermococcus barophilus OX=55802 GN=TBCH5v1_1620 PE=4 SV=1	non-specific	308778	23	171	0.00563848	36.0726	pfam03357	Snf7	 - 	cl21588
Q#6 - >tr|A0A0S1XCM4|A0A0S1XCM4_9EURY Uncharacterized protein OS=Thermococcus barophilus OX=55802 GN=TBCH5v1_1620 PE=4 SV=1	superfamily	328813	23	171	0.00563848	36.0726	cl21588	Snf7 superfamily	 - 	 - 
Q#9 - >tr|I3ZW42|I3ZW42_9EURY Uncharacterized protein OS=Thermococcus cleftensis OX=163003 GN=CL1_1729 PE=4 SV=1	non-specific	240425	4	76	0.000361003	39.7999	PTZ00464	PTZ00464	C	cl21588
Q#9 - >tr|I3ZW42|I3ZW42_9EURY Uncharacterized protein OS=Thermococcus cleftensis OX=163003 GN=CL1_1729 PE=4 SV=1	superfamily	328813	4	76	0.000361003	39.7999	cl21588	Snf7 superfamily	C	 - 
Q#9 - >tr|I3ZW42|I3ZW42_9EURY Uncharacterized protein OS=Thermococcus cleftensis OX=163003 GN=CL1_1729 PE=4 SV=1	non-specific	335555	16	81	0.00357155	37.24	pfam03961	FapA	N	cl19219
Q#9 - >tr|I3ZW42|I3ZW42_9EURY Uncharacterized protein OS=Thermococcus cleftensis OX=163003 GN=CL1_1729 PE=4 SV=1	superfamily	354396	16	81	0.00357155	37.24	cl19219	FapA superfamily	N	 - 
Q#12 - >tr|C9RH08|C9RH08_METVM Uncharacterized protein OS=Methanocaldococcus vulcanius (strain ATCC 700851 / DSM 12094 / M7) OX=579137 GN=Metvu_1002 PE=4 SV=1	non-specific	337715	8	93	0.00849194	36.0525	pfam10359	Fmp27_WPPW	NC	cl26543
Q#12 - >tr|C9RH08|C9RH08_METVM Uncharacterized protein OS=Methanocaldococcus vulcanius (strain ATCC 700851 / DSM 12094 / M7) OX=579137 GN=Metvu_1002 PE=4 SV=1	superfamily	337715	8	93	0.00849194	36.0525	cl26543	Fmp27_WPPW superfamily	NC	 - 
Q#15 - >tr|D5VRF2|D5VRF2_METIM Uncharacterized protein OS=Methanocaldococcus infernus (strain DSM 11812 / JCM 15783 / ME) OX=573063 GN=Metin_0485 PE=4 SV=1	non-specific	337715	8	93	0.00478416	36.8229	pfam10359	Fmp27_WPPW	NC	cl26543
Q#15 - >tr|D5VRF2|D5VRF2_METIM Uncharacterized protein OS=Methanocaldococcus infernus (strain DSM 11812 / JCM 15783 / ME) OX=573063 GN=Metin_0485 PE=4 SV=1	superfamily	337715	8	93	0.00478416	36.8229	cl26543	Fmp27_WPPW superfamily	NC	 - 
Q#16 - >tr|Q9YFV7|Q9YFV7_AERPE Uncharacterized protein OS=Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1) OX=272557 GN=APE_0143.1 PE=4 SV=2	specific	227778	3	209	2.33802e-62	193.101	COG5491	Did4	 - 	cl21588
Q#16 - >tr|Q9YFV7|Q9YFV7_AERPE Uncharacterized protein OS=Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1) OX=272557 GN=APE_0143.1 PE=4 SV=2	superfamily	328813	3	209	2.33802e-62	193.101	cl21588	Snf7 superfamily	 - 	 - 
Q#17 - >tr|Q9YAG4|Q9YAG4_AERPE Uncharacterized protein OS=Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1) OX=272557 GN=APE_1975.1 PE=4 SV=2	specific	227778	18	166	1.46522e-28	104.505	COG5491	Did4	 - 	cl21588
Q#17 - >tr|Q9YAG4|Q9YAG4_AERPE Uncharacterized protein OS=Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1) OX=272557 GN=APE_1975.1 PE=4 SV=2	superfamily	328813	18	166	1.46522e-28	104.505	cl21588	Snf7 superfamily	 - 	 - 
Q#18 - >tr|Q9YDF1|Q9YDF1_AERPE Uncharacterized protein OS=Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1) OX=272557 GN=APE_0962 PE=4 SV=1	non-specific	128823	213	259	0.00707062	34.2341	smart00550	Zalpha	C	cl02659
Q#18 - >tr|Q9YDF1|Q9YDF1_AERPE Uncharacterized protein OS=Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1) OX=272557 GN=APE_0962 PE=4 SV=1	superfamily	295419	213	259	0.00707062	34.2341	cl02659	z-alpha superfamily	C	 - 
Q#18 - >tr|Q9YDF1|Q9YDF1_AERPE Uncharacterized protein OS=Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1) OX=272557 GN=APE_0962 PE=4 SV=1	non-specific	225310	198	267	0.00832769	36.644	COG2512	COG2512	N	cl28356
Q#18 - >tr|Q9YDF1|Q9YDF1_AERPE Uncharacterized protein OS=Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1) OX=272557 GN=APE_0962 PE=4 SV=1	superfamily	225310	198	267	0.00832769	36.644	cl28356	COG2512 superfamily	N	 - 
Q#19 - >tr|A8ABN1|A8ABN1_IGNH4 Conserved protein implicated in secretion-like protein OS=Ignicoccus hospitalis (strain KIN4/I / DSM 18386 / JCM 14125) OX=453591 GN=Igni_1156 PE=4 SV=1	specific	227778	31	200	1.18565e-19	82.5487	COG5491	Did4	 - 	cl21588
Q#19 - >tr|A8ABN1|A8ABN1_IGNH4 Conserved protein implicated in secretion-like protein OS=Ignicoccus hospitalis (strain KIN4/I / DSM 18386 / JCM 14125) OX=453591 GN=Igni_1156 PE=4 SV=1	superfamily	328813	31	200	1.18565e-19	82.5487	cl21588	Snf7 superfamily	 - 	 - 
Q#20 - >tr|A8A8N3|A8A8N3_IGNH4 Uncharacterized protein OS=Ignicoccus hospitalis (strain KIN4/I / DSM 18386 / JCM 14125) OX=453591 GN=Igni_0101 PE=4 SV=1	non-specific	227778	3	168	9.79225e-11	57.8959	COG5491	Did4	 - 	cl21588
Q#20 - >tr|A8A8N3|A8A8N3_IGNH4 Uncharacterized protein OS=Ignicoccus hospitalis (strain KIN4/I / DSM 18386 / JCM 14125) OX=453591 GN=Igni_0101 PE=4 SV=1	superfamily	328813	3	168	9.79225e-11	57.8959	cl21588	Snf7 superfamily	 - 	 - 
Q#21 - >tr|A0A0V8RVW9|A0A0V8RVW9_PYROC Uncharacterized protein OS=Pyrodictium occultum OX=2309 GN=CF15_05445 PE=4 SV=1	non-specific	227778	18	193	2.60454e-08	52.5031	COG5491	Did4	 - 	cl21588
Q#21 - >tr|A0A0V8RVW9|A0A0V8RVW9_PYROC Uncharacterized protein OS=Pyrodictium occultum OX=2309 GN=CF15_05445 PE=4 SV=1	superfamily	328813	18	193	2.60454e-08	52.5031	cl21588	Snf7 superfamily	 - 	 - 
Q#22 - >tr|A0A0V8RRG7|A0A0V8RRG7_PYROC Uncharacterized protein OS=Pyrodictium occultum OX=2309 GN=CF15_07965 PE=4 SV=1	specific	227778	3	206	1.67501e-38	132.239	COG5491	Did4	 - 	cl21588
Q#22 - >tr|A0A0V8RRG7|A0A0V8RRG7_PYROC Uncharacterized protein OS=Pyrodictium occultum OX=2309 GN=CF15_07965 PE=4 SV=1	superfamily	328813	3	206	1.67501e-38	132.239	cl21588	Snf7 superfamily	 - 	 - 
Q#23 - >tr|A2BKY9|A2BKY9_HYPBU Conserved crenarchaeal protein OS=Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5) OX=415426 GN=Hbut_0797 PE=4 SV=1	non-specific	227778	18	193	1.55584e-11	62.1331	COG5491	Did4	 - 	cl21588
Q#23 - >tr|A2BKY9|A2BKY9_HYPBU Conserved crenarchaeal protein OS=Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5) OX=415426 GN=Hbut_0797 PE=4 SV=1	superfamily	328813	18	193	1.55584e-11	62.1331	cl21588	Snf7 superfamily	 - 	 - 
Q#24 - >tr|A2BMT1|A2BMT1_HYPBU Conserved crenarchaeal protein OS=Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5) OX=415426 GN=Hbut_1468 PE=4 SV=1	specific	227778	3	205	1.52497e-36	126.847	COG5491	Did4	 - 	cl21588
Q#24 - >tr|A2BMT1|A2BMT1_HYPBU Conserved crenarchaeal protein OS=Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5) OX=415426 GN=Hbut_1468 PE=4 SV=1	superfamily	328813	3	205	1.52497e-36	126.847	cl21588	Snf7 superfamily	 - 	 - 
Q#26 - >tr|I3XPX4|I3XPX4_DESAM Conserved protein implicated in secretion OS=Desulfurococcus amylolyticus DSM 16532 OX=768672 GN=Desfe_0085 PE=4 SV=1	specific	227778	5	194	2.52529e-24	94.8751	COG5491	Did4	 - 	cl21588
Q#26 - >tr|I3XPX4|I3XPX4_DESAM Conserved protein implicated in secretion OS=Desulfurococcus amylolyticus DSM 16532 OX=768672 GN=Desfe_0085 PE=4 SV=1	superfamily	328813	5	194	2.52529e-24	94.8751	cl21588	Snf7 superfamily	 - 	 - 
Q#27 - >tr|I3XQE4|I3XQE4_DESAM Uncharacterized protein OS=Desulfurococcus amylolyticus DSM 16532 OX=768672 GN=Desfe_0257 PE=4 SV=1	non-specific	225310	223	291	0.0035518	37.7996	COG2512	COG2512	N	cl28356
Q#27 - >tr|I3XQE4|I3XQE4_DESAM Uncharacterized protein OS=Desulfurococcus amylolyticus DSM 16532 OX=768672 GN=Desfe_0257 PE=4 SV=1	superfamily	225310	223	291	0.0035518	37.7996	cl28356	COG2512 superfamily	N	 - 
Q#28 - >tr|A3DLS9|A3DLS9_STAMF Uncharacterized protein OS=Staphylothermus marinus (strain ATCC 43588 / DSM 3639 / JCM 9404 / F1) OX=399550 GN=Smar_0481 PE=4 SV=1	specific	227778	11	202	4.9133e-22	89.0971	COG5491	Did4	 - 	cl21588
Q#28 - >tr|A3DLS9|A3DLS9_STAMF Uncharacterized protein OS=Staphylothermus marinus (strain ATCC 43588 / DSM 3639 / JCM 9404 / F1) OX=399550 GN=Smar_0481 PE=4 SV=1	superfamily	328813	11	202	4.9133e-22	89.0971	cl21588	Snf7 superfamily	 - 	 - 
Q#29 - >tr|A3DP08|A3DP08_STAMF Uncharacterized protein OS=Staphylothermus marinus (strain ATCC 43588 / DSM 3639 / JCM 9404 / F1) OX=399550 GN=Smar_1277 PE=4 SV=1	non-specific	227778	21	152	0.00199653	38.2507	COG5491	Did4	C	cl21588
