#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-78D2A47EE804FA4-7028982157404B0
#datatype	hitsFull Results
#status	0
#Start time	2020-03-11T14:06:40	Run time	0:00:00:22
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#2 - >tr|A8AB73|A8AB73_IGNH4 CdvA domain-containing protein OS=Ignicoccus hospitalis (strain KIN4/I / DSM 18386 / JCM 14125) OX=453591 GN=Igni_0996 PE=4 SV=1	non-specific	227355	70	217	0.000220631	41.602	COG5022	COG5022	NC	cl34868
Q#2 - >tr|A8AB73|A8AB73_IGNH4 CdvA domain-containing protein OS=Ignicoccus hospitalis (strain KIN4/I / DSM 18386 / JCM 14125) OX=453591 GN=Igni_0996 PE=4 SV=1	superfamily	227355	70	217	0.000220631	41.602	cl34868	COG5022 superfamily	NC	 - 
Q#2 - >tr|A8AB73|A8AB73_IGNH4 CdvA domain-containing protein OS=Ignicoccus hospitalis (strain KIN4/I / DSM 18386 / JCM 14125) OX=453591 GN=Igni_0996 PE=4 SV=1	non-specific	224117	106	210	0.00227796	38.542	COG1196	Smc	NC	cl34174
Q#2 - >tr|A8AB73|A8AB73_IGNH4 CdvA domain-containing protein OS=Ignicoccus hospitalis (strain KIN4/I / DSM 18386 / JCM 14125) OX=453591 GN=Igni_0996 PE=4 SV=1	superfamily	224117	106	210	0.00227796	38.542	cl34174	Smc superfamily	NC	 - 
Q#2 - >tr|A8AB73|A8AB73_IGNH4 CdvA domain-containing protein OS=Ignicoccus hospitalis (strain KIN4/I / DSM 18386 / JCM 14125) OX=453591 GN=Igni_0996 PE=4 SV=1	non-specific	274009	77	209	0.00228711	38.5103	TIGR02169	SMC_prok_A	N	cl37070
Q#2 - >tr|A8AB73|A8AB73_IGNH4 CdvA domain-containing protein OS=Ignicoccus hospitalis (strain KIN4/I / DSM 18386 / JCM 14125) OX=453591 GN=Igni_0996 PE=4 SV=1	superfamily	274009	77	209	0.00228711	38.5103	cl37070	SMC_prok_A superfamily	N	 - 
Q#2 - >tr|A8AB73|A8AB73_IGNH4 CdvA domain-containing protein OS=Ignicoccus hospitalis (strain KIN4/I / DSM 18386 / JCM 14125) OX=453591 GN=Igni_0996 PE=4 SV=1	non-specific	237177	103	205	0.00554694	37.065	PRK12704	PRK12704	C	cl36166
Q#2 - >tr|A8AB73|A8AB73_IGNH4 CdvA domain-containing protein OS=Ignicoccus hospitalis (strain KIN4/I / DSM 18386 / JCM 14125) OX=453591 GN=Igni_0996 PE=4 SV=1	superfamily	237177	103	205	0.00554694	37.065	cl36166	PRK12704 superfamily	C	 - 
Q#5 - >tr|I3XSK2|I3XSK2_DESAM CdvA domain-containing protein OS=Desulfurococcus amylolyticus DSM 16532 OX=768672 GN=Desfe_1053 PE=4 SV=1	non-specific	224117	38	197	0.00219745	38.542	COG1196	Smc	NC	cl34174
Q#5 - >tr|I3XSK2|I3XSK2_DESAM CdvA domain-containing protein OS=Desulfurococcus amylolyticus DSM 16532 OX=768672 GN=Desfe_1053 PE=4 SV=1	superfamily	224117	38	197	0.00219745	38.542	cl34174	Smc superfamily	NC	 - 
