#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-908EB36647D4949-341F969F3882AE22
#datatype	hitsFull Results
#status	0
#Start time	2020-03-13T13:07:40	Run time	0:00:01:12
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >tr|Q9HJ01|Q9HJ01_THEAC VAT-2 protein OS=Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165) OX=273075 GN=Ta1175 PE=4 SV=1	specific	223540	1	372	5.48798e-98	299.817	COG0464	SpoVK	N	cl33891
Q#1 - >tr|Q9HJ01|Q9HJ01_THEAC VAT-2 protein OS=Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165) OX=273075 GN=Ta1175 PE=4 SV=1	superfamily	223540	1	372	5.48798e-98	299.817	cl33891	SpoVK superfamily	N	 - 
Q#1 - >tr|Q9HJ01|Q9HJ01_THEAC VAT-2 protein OS=Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165) OX=273075 GN=Ta1175 PE=4 SV=1	non-specific	273521	105	373	6.61883e-70	232.49	TIGR01243	CDC48	N	cl36852
Q#1 - >tr|Q9HJ01|Q9HJ01_THEAC VAT-2 protein OS=Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165) OX=273075 GN=Ta1175 PE=4 SV=1	superfamily	273521	105	373	6.61883e-70	232.49	cl36852	CDC48 superfamily	N	 - 
Q#1 - >tr|Q9HJ01|Q9HJ01_THEAC VAT-2 protein OS=Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165) OX=273075 GN=Ta1175 PE=4 SV=1	non-specific	224143	105	337	6.40488e-61	201.34	COG1222	RPT1	N	cl34191
Q#1 - >tr|Q9HJ01|Q9HJ01_THEAC VAT-2 protein OS=Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165) OX=273075 GN=Ta1175 PE=4 SV=1	superfamily	224143	105	337	6.40488e-61	201.34	cl34191	RPT1 superfamily	N	 - 
Q#1 - >tr|Q9HJ01|Q9HJ01_THEAC VAT-2 protein OS=Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165) OX=273075 GN=Ta1175 PE=4 SV=1	non-specific	179699	100	354	1.12363e-58	194.666	PRK03992	PRK03992	N	cl32052
Q#1 - >tr|Q9HJ01|Q9HJ01_THEAC VAT-2 protein OS=Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165) OX=273075 GN=Ta1175 PE=4 SV=1	superfamily	179699	100	354	1.12363e-58	194.666	cl32052	PRK03992 superfamily	N	 - 
Q#1 - >tr|Q9HJ01|Q9HJ01_THEAC VAT-2 protein OS=Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165) OX=273075 GN=Ta1175 PE=4 SV=1	non-specific	130309	100	358	4.4709e-58	192.707	TIGR01242	26Sp45	N	cl31081
Q#1 - >tr|Q9HJ01|Q9HJ01_THEAC VAT-2 protein OS=Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165) OX=273075 GN=Ta1175 PE=4 SV=1	superfamily	130309	100	358	4.4709e-58	192.707	cl31081	26Sp45 superfamily	N	 - 
Q#1 - >tr|Q9HJ01|Q9HJ01_THEAC VAT-2 protein OS=Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165) OX=273075 GN=Ta1175 PE=4 SV=1	non-specific	273521	102	360	1.52869e-54	190.888	TIGR01243	CDC48	NC	cl36852
Q#1 - >tr|Q9HJ01|Q9HJ01_THEAC VAT-2 protein OS=Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165) OX=273075 GN=Ta1175 PE=4 SV=1	specific	333757	149	280	2.91369e-46	154.282	pfam00004	AAA	 - 	cl29659
Q#1 - >tr|Q9HJ01|Q9HJ01_THEAC VAT-2 protein OS=Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165) OX=273075 GN=Ta1175 PE=4 SV=1	superfamily	356535	149	280	2.91369e-46	154.282	cl29659	AAA superfamily	 - 	 - 
Q#1 - >tr|Q9HJ01|Q9HJ01_THEAC VAT-2 protein OS=Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165) OX=273075 GN=Ta1175 PE=4 SV=1	non-specific	273520	107	328	2.19495e-45	162.455	TIGR01241	FtsH_fam	C	cl36851
Q#1 - >tr|Q9HJ01|Q9HJ01_THEAC VAT-2 protein OS=Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165) OX=273075 GN=Ta1175 PE=4 SV=1	superfamily	273520	107	328	2.19495e-45	162.455	cl36851	FtsH_fam superfamily	C	 - 
Q#1 - >tr|Q9HJ01|Q9HJ01_THEAC VAT-2 protein OS=Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165) OX=273075 GN=Ta1175 PE=4 SV=1	non-specific	240423	101	345	5.77354e-44	156.462	PTZ00454	PTZ00454	N	cl36567
Q#1 - >tr|Q9HJ01|Q9HJ01_THEAC VAT-2 protein OS=Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165) OX=273075 GN=Ta1175 PE=4 SV=1	superfamily	240423	101	345	5.77354e-44	156.462	cl36567	PTZ00454 superfamily	N	 - 
Q#1 - >tr|Q9HJ01|Q9HJ01_THEAC VAT-2 protein OS=Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165) OX=273075 GN=Ta1175 PE=4 SV=1	non-specific	185575	107	328	3.30119e-43	155.314	PTZ00361	PTZ00361	N	cl33178
Q#1 - >tr|Q9HJ01|Q9HJ01_THEAC VAT-2 protein OS=Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165) OX=273075 GN=Ta1175 PE=4 SV=1	superfamily	185575	107	328	3.30119e-43	155.314	cl33178	PTZ00361 superfamily	N	 - 
Q#1 - >tr|Q9HJ01|Q9HJ01_THEAC VAT-2 protein OS=Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165) OX=273075 GN=Ta1175 PE=4 SV=1	non-specific	182683	108	329	6.22521e-40	149.414	PRK10733	hflB	NC	cl32564
Q#1 - >tr|Q9HJ01|Q9HJ01_THEAC VAT-2 protein OS=Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165) OX=273075 GN=Ta1175 PE=4 SV=1	superfamily	182683	108	329	6.22521e-40	149.414	cl32564	hflB superfamily	NC	 - 
Q#1 - >tr|Q9HJ01|Q9HJ01_THEAC VAT-2 protein OS=Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165) OX=273075 GN=Ta1175 PE=4 SV=1	non-specific	223541	101	357	9.07115e-40	148.621	COG0465	HflB	NC	cl33892
