#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-908EB36647D4949-FEDA17D8FC49BE1
#datatype	hitsStandard Results
#status	0
#Start time	2020-03-13T13:07:40	Run time	0:00:01:12
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >tr|Q9HJ01|Q9HJ01_THEAC VAT-2 protein OS=Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165) OX=273075 GN=Ta1175 PE=4 SV=1	specific	223540	1	372	5.48798e-98	299.817	COG0464	SpoVK	N	cl33891
Q#1 - >tr|Q9HJ01|Q9HJ01_THEAC VAT-2 protein OS=Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165) OX=273075 GN=Ta1175 PE=4 SV=1	superfamily	223540	1	372	5.48798e-98	299.817	cl33891	SpoVK superfamily	N	 - 
Q#1 - >tr|Q9HJ01|Q9HJ01_THEAC VAT-2 protein OS=Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165) OX=273075 GN=Ta1175 PE=4 SV=1	non-specific	273521	105	373	6.61883e-70	232.49	TIGR01243	CDC48	N	cl36852
Q#1 - >tr|Q9HJ01|Q9HJ01_THEAC VAT-2 protein OS=Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165) OX=273075 GN=Ta1175 PE=4 SV=1	superfamily	273521	105	373	6.61883e-70	232.49	cl36852	CDC48 superfamily	N	 - 
Q#1 - >tr|Q9HJ01|Q9HJ01_THEAC VAT-2 protein OS=Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165) OX=273075 GN=Ta1175 PE=4 SV=1	non-specific	179699	100	354	1.12363e-58	194.666	PRK03992	PRK03992	N	cl32052
Q#1 - >tr|Q9HJ01|Q9HJ01_THEAC VAT-2 protein OS=Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165) OX=273075 GN=Ta1175 PE=4 SV=1	superfamily	179699	100	354	1.12363e-58	194.666	cl32052	PRK03992 superfamily	N	 - 
Q#1 - >tr|Q9HJ01|Q9HJ01_THEAC VAT-2 protein OS=Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165) OX=273075 GN=Ta1175 PE=4 SV=1	specific	333757	149	280	2.91369e-46	154.282	pfam00004	AAA	 - 	cl29659
Q#1 - >tr|Q9HJ01|Q9HJ01_THEAC VAT-2 protein OS=Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165) OX=273075 GN=Ta1175 PE=4 SV=1	superfamily	356535	149	280	2.91369e-46	154.282	cl29659	AAA superfamily	 - 	 - 
Q#1 - >tr|Q9HJ01|Q9HJ01_THEAC VAT-2 protein OS=Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165) OX=273075 GN=Ta1175 PE=4 SV=1	specific	99707	146	281	2.30277e-23	94.5203	cd00009	AAA	 - 	cl21455
Q#1 - >tr|Q9HJ01|Q9HJ01_THEAC VAT-2 protein OS=Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165) OX=273075 GN=Ta1175 PE=4 SV=1	superfamily	354812	146	281	2.30277e-23	94.5203	cl21455	P-loop_NTPase superfamily	 - 	 - 
Q#1 - >tr|Q9HJ01|Q9HJ01_THEAC VAT-2 protein OS=Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165) OX=273075 GN=Ta1175 PE=4 SV=1	specific	214640	146	283	1.01359e-15	73.5617	smart00382	AAA	 - 	cl30760
Q#1 - >tr|Q9HJ01|Q9HJ01_THEAC VAT-2 protein OS=Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165) OX=273075 GN=Ta1175 PE=4 SV=1	superfamily	357636	146	283	1.01359e-15	73.5617	cl30760	AAA superfamily	 - 	 - 
Q#2 - >tr|S0ATL8|S0ATL8_FERAC AAA domain-containing protein OS=Ferroplasma acidarmanus fer1 OX=333146 GN=FACI_IFERC00001G1505 PE=3 SV=1	specific	223540	24	351	4.75693e-95	291.727	COG0464	SpoVK	N	cl33891
Q#2 - >tr|S0ATL8|S0ATL8_FERAC AAA domain-containing protein OS=Ferroplasma acidarmanus fer1 OX=333146 GN=FACI_IFERC00001G1505 PE=3 SV=1	superfamily	223540	24	351	4.75693e-95	291.727	cl33891	SpoVK superfamily	N	 - 
Q#2 - >tr|S0ATL8|S0ATL8_FERAC AAA domain-containing protein OS=Ferroplasma acidarmanus fer1 OX=333146 GN=FACI_IFERC00001G1505 PE=3 SV=1	non-specific	273521	66	359	6.34217e-69	229.408	TIGR01243	CDC48	N	cl36852
Q#2 - >tr|S0ATL8|S0ATL8_FERAC AAA domain-containing protein OS=Ferroplasma acidarmanus fer1 OX=333146 GN=FACI_IFERC00001G1505 PE=3 SV=1	superfamily	273521	66	359	6.34217e-69	229.408	cl36852	CDC48 superfamily	N	 - 
Q#2 - >tr|S0ATL8|S0ATL8_FERAC AAA domain-containing protein OS=Ferroplasma acidarmanus fer1 OX=333146 GN=FACI_IFERC00001G1505 PE=3 SV=1	non-specific	179699	94	347	1.98618e-54	183.495	PRK03992	PRK03992	N	cl32052
Q#2 - >tr|S0ATL8|S0ATL8_FERAC AAA domain-containing protein OS=Ferroplasma acidarmanus fer1 OX=333146 GN=FACI_IFERC00001G1505 PE=3 SV=1	superfamily	179699	94	347	1.98618e-54	183.495	cl32052	PRK03992 superfamily	N	 - 
Q#2 - >tr|S0ATL8|S0ATL8_FERAC AAA domain-containing protein OS=Ferroplasma acidarmanus fer1 OX=333146 GN=FACI_IFERC00001G1505 PE=3 SV=1	specific	333757	138	269	1.40723e-47	157.363	pfam00004	AAA	 - 	cl29659
Q#2 - >tr|S0ATL8|S0ATL8_FERAC AAA domain-containing protein OS=Ferroplasma acidarmanus fer1 OX=333146 GN=FACI_IFERC00001G1505 PE=3 SV=1	superfamily	356535	138	269	1.40723e-47	157.363	cl29659	AAA superfamily	 - 	 - 
Q#2 - >tr|S0ATL8|S0ATL8_FERAC AAA domain-containing protein OS=Ferroplasma acidarmanus fer1 OX=333146 GN=FACI_IFERC00001G1505 PE=3 SV=1	specific	99707	136	270	1.80604e-22	91.8239	cd00009	AAA	 - 	cl21455
Q#2 - >tr|S0ATL8|S0ATL8_FERAC AAA domain-containing protein OS=Ferroplasma acidarmanus fer1 OX=333146 GN=FACI_IFERC00001G1505 PE=3 SV=1	superfamily	354812	136	270	1.80604e-22	91.8239	cl21455	P-loop_NTPase superfamily	 - 	 - 
Q#2 - >tr|S0ATL8|S0ATL8_FERAC AAA domain-containing protein OS=Ferroplasma acidarmanus fer1 OX=333146 GN=FACI_IFERC00001G1505 PE=3 SV=1	specific	214640	136	272	6.62498e-16	73.9469	smart00382	AAA	 - 	cl30760
Q#2 - >tr|S0ATL8|S0ATL8_FERAC AAA domain-containing protein OS=Ferroplasma acidarmanus fer1 OX=333146 GN=FACI_IFERC00001G1505 PE=3 SV=1	superfamily	357636	136	272	6.62498e-16	73.9469	cl30760	AAA superfamily	 - 	 - 
